"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.261900246143341,0.615227162837982,0.438125528101074,0.066003927407197,0.25986522436142,0.635735869407654,0.444308226225806,0.0695126357737502,0.375870645046234
0,27,0.242342874407768,0.630415856838226,0.473365136079098,0.0917271498465547,0.214484184980392,0.677990615367889,0.477651401621396,0.094488728173059,0.463506430387497
0,98,0.289354056119919,0.746853888034821,0.538912438542435,0.110998112302451,0.236342921853065,0.777110278606415,0.540210878946742,0.120380662968114,0.540767356753349
0,41,0.23193633556366,0.600151717662811,0.435376491201551,0.0787746787211103,0.231630191206932,0.654044389724731,0.440133992472633,0.0828179798949251,0.422414198517799
0,64,0.315329790115356,0.665467202663422,0.498809292814449,0.0644525459507888,0.31577068567276,0.691700458526611,0.504664341934392,0.0685732604236263,0.375929772853851
0.05,23,0.285762578248978,0.647233724594116,0.445744633870689,0.0831406906571895,0.292327970266342,0.65917706489563,0.452864257722604,0.0831341566633767,0.366849094629288
0.05,27,0.250540554523468,0.642361044883728,0.489868159552938,0.0921343725002292,0.222658514976501,0.688976526260376,0.494067775030605,0.0954486959368159,0.466318011283875
0.05,98,0.235108464956284,0.666342675685883,0.507964032849199,0.0790997308006238,0.252281844615936,0.703138053417206,0.511098722356265,0.0841343533470118,0.45085620880127
0.05,41,0.205617547035217,0.634576499462128,0.428147733995789,0.0866635538698019,0.171075060963631,0.58858186006546,0.428028750077623,0.0904670825646583,0.41750679910183
0.05,64,0.288153439760208,0.627503871917725,0.471618842725691,0.0589583413138994,0.29123467206955,0.646730899810791,0.476490814666279,0.0641916401894179,0.355496227741241
0.1,23,0.294601052999496,0.648791491985321,0.453093579921283,0.0821605104960461,0.300947606563568,0.663478434085846,0.459936587341496,0.0822555817011292,0.362530827522278
0.1,27,0.219891607761383,0.626609027385712,0.491584386480482,0.0942625543744344,0.200330927968025,0.634883642196655,0.494110730534694,0.0939016661748235,0.43455271422863
0.1,98,0.279410570859909,0.748269438743591,0.527972753110685,0.111633866251557,0.228137865662575,0.776294529438019,0.529396710923461,0.121299859061773,0.548156663775444
0.1,41,0.23451592028141,0.603243947029114,0.442319157386297,0.0744633688971206,0.240400224924088,0.650373935699463,0.447325588933757,0.0785769977489015,0.409973710775375
0.1,64,0.275076240301132,0.636723101139069,0.474528025051481,0.0636350306326371,0.278988718986511,0.664706349372864,0.480186827847215,0.0676345731155708,0.385717630386353
