"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.4512639939785,0.521418154239655,0.483411249092647,0.0254178374043288,0.451263576745987,0.51770555973053,0.48863268494606,0.0249327755713899,0.0664419829845428
0,27,0.423630803823471,0.516686081886292,0.477063289710454,0.0328709297848731,0.424156993627548,0.515357613563538,0.480236848763057,0.0322483238567459,0.0912006199359894
0,98,0.470004439353943,0.531232953071594,0.494317992244448,0.0204709378284039,0.470004439353943,0.52725350856781,0.496894291469029,0.0212256708148982,0.0572490692138672
0,41,0.451137959957123,0.523390114307404,0.488150232178824,0.0276490537633722,0.453616976737976,0.524320125579834,0.491151198319026,0.0251732775998225,0.0707031488418579
0,64,0.437703162431717,0.559992372989655,0.491423564297812,0.040503881580361,0.440192818641663,0.555731177330017,0.492295582805361,0.0390298783418477,0.115538358688354
0.05,23,0.470299690961838,0.520869314670563,0.492240389755794,0.0160169069303371,0.470862478017807,0.519218981266022,0.495574930735997,0.0161683009500774,0.0483565032482147
0.05,27,0.449192523956299,0.513255298137665,0.485532257386616,0.0229791246985479,0.451596111059189,0.511364936828613,0.48712295123509,0.0214731184534553,0.0597688257694244
0.05,98,0.471950471401215,0.527160108089447,0.495571441309793,0.0190121065252993,0.471950471401215,0.523964703083038,0.497966583286013,0.0194975012012303,0.0520142316818237
0.05,41,0.454992175102234,0.524707496166229,0.490215694904327,0.0262264944625249,0.457394391298294,0.525695383548737,0.493322947195598,0.0242293490434626,0.0683009922504425
0.05,64,0.440896302461624,0.556578099727631,0.49234772835459,0.0379373307975723,0.44331282377243,0.552628636360168,0.493199901069914,0.0365823970242471,0.109315812587738
0.1,23,0.4733906686306,0.521258413791656,0.493928274938038,0.0151266195381222,0.474024057388306,0.519991934299469,0.497111908027104,0.0153201814019542,0.0459678769111633
0.1,27,0.438544601202011,0.527123212814331,0.488712407861437,0.0309000583526351,0.438972890377045,0.525553941726685,0.491606800045286,0.0303482361543467,0.0865810513496399
0.1,98,0.474028319120407,0.523539125919342,0.49695257459368,0.0177815784573958,0.474028319120407,0.521096110343933,0.49917140517916,0.0179842839142245,0.047067791223526
0.1,41,0.458991467952728,0.525915324687958,0.492227930682046,0.0248035400782923,0.46129709482193,0.526959359645844,0.495425195353372,0.0232918191083967,0.0656622648239136
0.1,64,0.444004505872726,0.5533527135849,0.493301404373986,0.0355055342460449,0.446354776620865,0.549709379673004,0.494119909831456,0.034255630053239,0.103354603052139
