"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.501982450485229,0.540880024433136,0.518834664140429,0.0139784821923325,0.502772688865662,0.538898289203644,0.521451217787606,0.0138480200264967,0.0361256003379822
0,27,0.503970980644226,0.571109592914581,0.540642627647945,0.0242299698504554,0.505439400672913,0.567600965499878,0.540486744471959,0.0218313528220806,0.0621615648269653
0,98,0.506502091884613,0.56375253200531,0.525050784860339,0.0193293892825438,0.506416320800781,0.557573556900024,0.527232669081007,0.020125191092407,0.0511572360992432
0,41,0.513763546943665,0.56104838848114,0.538813735757555,0.019673263477992,0.513874590396881,0.561993896961212,0.541709157398769,0.0180953066402587,0.0481193065643311
0,64,0.502387285232544,0.595429241657257,0.539745043005262,0.0306766972161884,0.505953907966614,0.591314017772675,0.542447991030557,0.0294420205782906,0.0853601098060608
0.05,23,0.50291234254837,0.537797451019287,0.517518862656185,0.0130742237410969,0.503723621368408,0.536601126194,0.520057739530291,0.0130413979078965,0.032877504825592
0.05,27,0.498739689588547,0.566321551799774,0.535777923890523,0.0242091309602977,0.500408113002777,0.563144147396088,0.535980755942208,0.0219140827185665,0.0627360343933105
0.05,98,0.50387579202652,0.560343861579895,0.5238745536123,0.0188490525011838,0.503754854202271,0.554491341114044,0.526004428522927,0.0193880632026713,0.0507364869117737
0.05,41,0.512742519378662,0.558176279067993,0.536547665936606,0.0185281676193012,0.512927234172821,0.559845685958862,0.539561702523913,0.0173473535326322,0.0469184517860413
0.05,64,0.50092601776123,0.587954819202423,0.536200390543257,0.0285507402985359,0.50446629524231,0.584248065948486,0.538915228843689,0.0274468937008151,0.0797817707061768
0.1,23,0.50352954864502,0.534387111663818,0.515890341145652,0.0122512923627887,0.503894925117493,0.533958315849304,0.518347721440451,0.0122718332866163,0.0300633907318115
0.1,27,0.488692492246628,0.595166444778442,0.545585493530546,0.0360689270976636,0.488718062639236,0.591466963291168,0.549257060459682,0.0360405021551832,0.102748900651932
0.1,98,0.501011550426483,0.556368231773376,0.522200913088662,0.0184238301551168,0.500856518745422,0.550855457782745,0.524265694618225,0.0187010778588058,0.049998939037323
0.1,41,0.510805189609528,0.556127727031708,0.533429837226868,0.0175611122181528,0.511097609996796,0.55766886472702,0.536540152345385,0.016732419202573,0.0465712547302246
0.1,64,0.498631536960602,0.579502522945404,0.531751390865871,0.0264163590383497,0.502135753631592,0.576217651367188,0.534446505137852,0.0254313292846697,0.0740818977355957
