"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.385435074567795,0.62251752614975,0.500523396816693,0.0371313267856591,0.379378110170364,0.551549434661865,0.497708930832441,0.035520986473127,0.172171324491501
0,27,0.420032232999802,0.60092306137085,0.49923582012324,0.0324671876137158,0.4184230864048,0.575938284397125,0.497629770196852,0.0308634085943149,0.157515197992325
0,98,0.417880088090897,0.552406549453735,0.499034655427462,0.0251863876615841,0.409351289272308,0.555091023445129,0.497611872778564,0.0277738279239242,0.145739734172821
0,41,0.380935519933701,0.60140323638916,0.496045176135866,0.0350876518993592,0.371158570051193,0.587801992893219,0.492758075331078,0.0376124153988701,0.216643422842026
0,64,0.38772988319397,0.602575480937958,0.499798001819535,0.0389163686348186,0.357841908931732,0.595754444599152,0.49773294241702,0.0412312176975751,0.237912535667419
0.05,23,0.416974067687988,0.583819508552551,0.499827115747489,0.0282893922600659,0.422238171100616,0.534195065498352,0.497524835144887,0.0265193095941679,0.111956894397736
0.05,27,0.417355597019196,0.595764577388763,0.497832031724484,0.0317149282311105,0.417071461677551,0.572482764720917,0.496242265134561,0.0303442906816473,0.155411303043365
0.05,98,0.4206722676754,0.554931700229645,0.500220687765824,0.0245945830303481,0.41257444024086,0.553098917007446,0.498758971788844,0.0269755526212682,0.140524476766586
0.05,41,0.380737900733948,0.597003817558289,0.493833074738321,0.0344846080680594,0.371462494134903,0.58440101146698,0.490618191293029,0.0371012723146743,0.212938517332077
0.05,64,0.392913997173309,0.603754878044128,0.501676010065957,0.0377985973866207,0.363768726587296,0.595088362693787,0.499695783853531,0.0399645713565471,0.231319636106491
0.1,23,0.365154534578323,0.641955256462097,0.49518284995697,0.0434406480823063,0.355552762746811,0.575264096260071,0.492217924751219,0.0398617286496819,0.21971133351326
0.1,27,0.414638727903366,0.590443670749664,0.496476225358875,0.0309711084660911,0.415843993425369,0.569006443023682,0.494910836610638,0.0298399810520912,0.153162449598312
0.1,98,0.423019975423813,0.552968204021454,0.500339898231782,0.0238219813412778,0.415339559316635,0.550144791603088,0.498905586219225,0.0261240782469892,0.134805232286453
0.1,41,0.3840691447258,0.597448468208313,0.495168774829883,0.0340030330762043,0.375624865293503,0.587591946125031,0.492005461356679,0.0365561258389486,0.211967080831528
0.1,64,0.396652370691299,0.603525996208191,0.50244289587595,0.0368344076072289,0.368118494749069,0.593825280666351,0.500563069738326,0.0388966324763469,0.225706785917282
