"fund","lambda","seed","test_min","test_max","test_mean","test_sd","test_range"
"ALZ",0,23,0.505716800689697,0.545075416564941,0.525550045750358,0.0104041201041367,0.0393586158752441
"ALZ",0,27,0.505304932594299,0.562749624252319,0.528930963891925,0.0177971246933182,0.05744469165802
"ALZ",0,98,0.509220659732819,0.586406409740448,0.558837368632808,0.0194976692114251,0.0771857500076294
"ALZ",0,41,0.515810132026672,0.614139914512634,0.578954497973124,0.0281899712384761,0.0983297824859619
"ALZ",0,64,0.502170443534851,0.578093469142914,0.540004695906784,0.0236793130986583,0.0759230256080627
"ALZ",0.05,23,0.506045818328857,0.544920027256012,0.525494839205886,0.0102897077851677,0.0388742089271545
"ALZ",0.05,27,0.50529420375824,0.562541842460632,0.528868601177678,0.017709324426717,0.0572476387023926
"ALZ",0.05,98,0.509354889392853,0.586286246776581,0.558703657352563,0.0194157433612606,0.076931357383728
"ALZ",0.05,41,0.516450524330139,0.613556683063507,0.578754782676697,0.0278561448311376,0.0971061587333679
"ALZ",0.05,64,0.502122163772583,0.578011631965637,0.539915139024908,0.0236466558558856,0.0758894681930542
"ALZ",0.1,23,0.50635552406311,0.544744968414307,0.525427541949532,0.0101748141493512,0.0383894443511963
"ALZ",0.1,27,0.50527024269104,0.562316536903381,0.528791908061866,0.0176203001641524,0.0570462942123413
"ALZ",0.1,98,0.509469151496887,0.586167812347412,0.558555510911075,0.0193353709809227,0.0766986608505249
"ALZ",0.1,41,0.517046868801117,0.612949073314667,0.578526850902673,0.0275286723963816,0.0959022045135498
"ALZ",0.1,64,0.502058863639832,0.577905058860779,0.539810596090375,0.0236066080049119,0.0758461952209473
