"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.263523489236832,0.771268963813782,0.503282273580369,0.0773981434479162,0.346939861774445,0.641336500644684,0.498114776513616,0.0574250279702819,0.294396638870239
0,27,0.409062385559082,0.623763859272003,0.498149481258894,0.0409165499930374,0.411409229040146,0.591975450515747,0.49659903743228,0.0374701081056878,0.180566221475601
0,98,0.253254801034927,0.796042740345001,0.507988330466967,0.0800633805329129,0.31772169470787,0.652610063552856,0.501272269546008,0.0558519770429801,0.334888368844986
0,41,0.331645339727402,0.673563063144684,0.497987574064418,0.0553630612523066,0.379265904426575,0.644643545150757,0.495576512031868,0.0449038786464998,0.265377640724182
0,64,0.317283570766449,0.682677567005157,0.496065494163256,0.0628079409083428,0.333646476268768,0.617138564586639,0.491931655954142,0.0556501063840889,0.283492088317871
0.05,23,0.26776534318924,0.765835881233215,0.503635341693696,0.0758048666979127,0.350471258163452,0.638354539871216,0.498414777243724,0.0563109872633126,0.287883281707764
0.05,27,0.4079350233078,0.619046032428741,0.496399280860236,0.0399750744956062,0.412735551595688,0.587954580783844,0.494854151420906,0.0364624851666029,0.175219029188156
0.05,98,0.25450536608696,0.792021155357361,0.507142476541431,0.0794029179676974,0.28109672665596,0.655387222766876,0.499901505962747,0.0562896836892223,0.374290496110916
0.05,41,0.332458704710007,0.670507371425629,0.496462814019699,0.054377696468813,0.380739718675613,0.641064167022705,0.494152453199762,0.0439122256735333,0.260324448347092
0.05,64,0.321833848953247,0.679900050163269,0.496893868046372,0.060998381407458,0.336188912391663,0.614630103111267,0.492684365784536,0.0538028259733223,0.278441190719604
0.1,23,0.271406769752502,0.759709537029266,0.503557730368093,0.0741961340397497,0.353456974029541,0.635364234447479,0.498318873174855,0.0551762162983976,0.281907260417938
0.1,27,0.408729434013367,0.615202486515045,0.496161245789967,0.0389329958165479,0.415643304586411,0.58483624458313,0.494623533819543,0.035367288298824,0.169192939996719
0.1,98,0.407556474208832,0.557883143424988,0.501070581866722,0.0306601066977165,0.392381280660629,0.564883410930634,0.499742429275982,0.0315382063088087,0.172502130270004
0.1,41,0.333785146474838,0.667941629886627,0.495993561552543,0.053520405748964,0.382833033800125,0.638845264911652,0.493818502641115,0.0431001067694548,0.256012231111526
0.1,64,0.212687641382217,0.872617244720459,0.505127331683118,0.104190759648732,0.178139790892601,0.701683461666107,0.494031747638202,0.081032975820964,0.523543670773506
