"arch","lambda","seed","test_min","test_max","test_mean","test_range"
"Conv1D",0,23,0.402173906564713,0.684739589691162,0.501502661431422,0.28256568312645
"Conv1D",0,27,0.345097988843918,0.637504637241364,0.491215892502519,0.292406648397446
"Conv1D",0,98,0.419662445783615,0.654575645923615,0.508781123747591,0.234913200139999
"Conv1D",0,41,0.388653129339218,0.621842920780182,0.495646048178438,0.233189791440964
"Conv1D",0,64,0.433380037546158,0.588583171367645,0.506748644934326,0.155203133821487
"Conv1D",0.05,23,0.395270884037018,0.670108258724213,0.495869320631027,0.274837374687195
"Conv1D",0.05,27,0.37910133600235,0.573998212814331,0.489949879880811,0.194896876811981
"Conv1D",0.05,98,0.419344305992126,0.651951730251312,0.507454293575443,0.232607424259186
"Conv1D",0.05,41,0.39230152964592,0.626819610595703,0.495012667237735,0.234518080949783
"Conv1D",0.05,64,0.433158576488495,0.586828470230103,0.505126917753063,0.153669893741608
"Conv1D",0.1,23,0.386752754449844,0.66884046792984,0.4921528378471,0.282087713479996
"Conv1D",0.1,27,0.339649707078934,0.62324333190918,0.488444673526483,0.283593624830246
"Conv1D",0.1,98,0.42156320810318,0.648701965808868,0.506745412310616,0.227138757705688
"Conv1D",0.1,41,0.387643277645111,0.629714131355286,0.494183783062169,0.242070853710175
"Conv1D",0.1,64,0.436803638935089,0.590918183326721,0.507201332342429,0.154114544391632
