"arch1","arch2","b_only_a1_correct","c_only_a2_correct","chi2","p_value","significant"
"SimpleRNN","GRU",62,32,8.9468085106383,0.00277954772722844,"*SIG*"
"SimpleRNN","Conv1D",66,46,3.22321428571429,0.0726009394499573,"n.s."
"SimpleRNN","TCN",55,26,9.67901234567901,0.00186384793502992,"*SIG*"
"SimpleRNN","Transformer",54,57,0.036036036036036,0.849441093557702,"n.s."
"SimpleRNN","BiLSTM",60,39,4.04040404040404,0.044423184850006,"*SIG*"
"GRU","Conv1D",30,40,1.15714285714286,0.282058875761559,"n.s."
"GRU","TCN",27,28,0,1,"n.s."
"GRU","Transformer",33,66,10.3434343434343,0.00129936030506494,"*SIG*"
"GRU","BiLSTM",22,31,1.20754716981132,0.271818443255495,"n.s."
"Conv1D","TCN",59,50,0.587155963302752,0.44352100213957,"n.s."
"Conv1D","Transformer",37,60,4.98969072164948,0.0254987658431798,"*SIG*"
"Conv1D","BiLSTM",46,45,0,1,"n.s."
"TCN","Transformer",37,69,9.06603773584906,0.00260400709861042,"*SIG*"
"TCN","BiLSTM",17,25,1.16666666666667,0.280087210811497,"n.s."
"Transformer","BiLSTM",64,40,5.08653846153846,0.0241122745630054,"*SIG*"
