"arch","lambda","seed","test_min","test_max","test_mean","test_range"
"TCN",0,23,0.289956241846085,0.59354704618454,0.487282072422934,0.303590804338455
"TCN",0,27,0.191863149404526,0.611073017120361,0.48618968207328,0.419209867715836
"TCN",0,98,0.43560916185379,0.812324941158295,0.526982085333496,0.376715779304504
"TCN",0,41,0.302769482135773,0.544825613498688,0.488891002877814,0.242056131362915
"TCN",0,64,0.36950871348381,0.559107899665833,0.490073306834111,0.189599186182022
"TCN",0.05,23,0.251327782869339,0.579965054988861,0.481087848006702,0.328637272119522
"TCN",0.05,27,0.243043273687363,0.605463564395905,0.489842629921241,0.362420290708542
"TCN",0.05,98,0.43729767203331,0.815948605537415,0.528456502273435,0.378650933504105
"TCN",0.05,41,0.260844945907593,0.550283551216125,0.486227885719205,0.289438605308533
"TCN",0.05,64,0.375422775745392,0.560599207878113,0.492307173912642,0.185176432132721
"TCN",0.1,23,0.261255294084549,0.577650785446167,0.482835099736198,0.316395491361618
"TCN",0.1,27,0.190843686461449,0.603894948959351,0.482637384875876,0.413051262497902
"TCN",0.1,98,0.433689892292023,0.810580968856812,0.524794412147803,0.376891076564789
"TCN",0.1,41,0.299260407686234,0.538612961769104,0.485876309578536,0.23935255408287
"TCN",0.1,64,0.384178787469864,0.560783922672272,0.493110080722903,0.176605135202408
