"arch","lambda","seed","test_min","test_max","test_mean","test_range"
"Transformer",0,23,0.307161599397659,0.57394939661026,0.451966000873534,0.266787797212601
"Transformer",0,27,0.319211453199387,0.720223724842072,0.501306361839419,0.401012271642685
"Transformer",0,98,0.382130533456802,0.624388754367828,0.492616806264783,0.242258220911026
"Transformer",0,41,0.311478346586227,0.567139744758606,0.467964868662787,0.255661398172379
"Transformer",0,64,0.371716737747192,0.599613606929779,0.494872049523182,0.227896869182587
"Transformer",0.05,23,0.305330455303192,0.575497448444366,0.454109933923502,0.270166993141174
"Transformer",0.05,27,0.327611267566681,0.726747274398804,0.50872521605648,0.399136006832123
"Transformer",0.05,98,0.381344199180603,0.621884644031525,0.492353677554209,0.240540444850922
"Transformer",0.05,41,0.323438704013824,0.579642653465271,0.480930422661734,0.256203949451447
"Transformer",0.05,64,0.364245712757111,0.600096464157104,0.488768558033177,0.235850751399994
"Transformer",0.1,23,0.310284435749054,0.584032893180847,0.462388859322814,0.273748457431793
"Transformer",0.1,27,0.374668180942535,0.66711163520813,0.502219163882928,0.292443454265594
"Transformer",0.1,98,0.304073095321655,0.538762927055359,0.410935019078802,0.234689831733704
"Transformer",0.1,41,0.284039974212646,0.564408898353577,0.456948263137067,0.28036892414093
"Transformer",0.1,64,0.335890620946884,0.596390545368195,0.482778528283854,0.26049992442131
