"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.533535397272137,0.526315789473684,0.426229508196721,0.782312925170068,0.0949367088607595,0.438624817015414,0.573770491803279,TRUE,FALSE,0.426229508196721,0.782312925170068,0.0949367088607595,0.438624817015414,FALSE
0,27,0.4,0.5264775925525,0.532894736842105,0.413114754098361,0.448979591836735,0.379746835443038,0.414363213639886,0.586885245901639,TRUE,FALSE,0.462295081967213,0.136054421768707,0.765822784810127,0.450938603289417,FALSE
0,98,0.5,0.546633470448149,0.549342105263158,0.465573770491803,0.333333333333333,0.588607594936709,0.460970464135021,0.534426229508197,TRUE,FALSE,0.465573770491803,0.333333333333333,0.588607594936709,0.460970464135021,FALSE
0,41,0.4,0.536176661615068,0.539473684210526,0.432786885245902,0.693877551020408,0.189873417721519,0.441875484370964,0.567213114754098,TRUE,FALSE,0.485245901639344,0.319727891156463,0.639240506329114,0.479484198742788,FALSE
0,64,0.55,0.539467417189868,0.532894736842105,0.475409836065574,0.401360544217687,0.544303797468354,0.472832170843021,0.524590163934426,TRUE,FALSE,0.445901639344262,0.748299319727891,0.164556962025316,0.456428140876604,FALSE
0.05,23,0.4,0.522494046330375,0.526315789473684,0.419672131147541,0.687074829931973,0.170886075949367,0.42898045294067,0.580327868852459,TRUE,FALSE,0.445901639344262,0.210884353741497,0.664556962025316,0.437720657883407,FALSE
0.05,27,0.5,0.532972504871184,0.532894736842105,0.409836065573771,0.36734693877551,0.449367088607595,0.408357013691553,0.590163934426229,TRUE,FALSE,0.409836065573771,0.36734693877551,0.449367088607595,0.408357013691553,FALSE
0.05,98,0.5,0.550119073392509,0.552631578947368,0.432786885245902,0.251700680272109,0.60126582278481,0.426483251528459,0.567213114754098,TRUE,FALSE,0.432786885245902,0.251700680272109,0.60126582278481,0.426483251528459,FALSE
0.05,41,0.35,0.537713790863823,0.542763157894737,0.459016393442623,0.741496598639456,0.19620253164557,0.468849565142513,0.540983606557377,TRUE,FALSE,0.531147540983607,0.238095238095238,0.80379746835443,0.520946353224834,FALSE
0.05,64,0.5,0.546936566356354,0.542763157894737,0.468852459016393,0.598639455782313,0.348101265822785,0.473370360802549,0.531147540983607,TRUE,FALSE,0.468852459016393,0.598639455782313,0.348101265822785,0.473370360802549,FALSE
0.1,23,0.5,0.529508551634553,0.526315789473684,0.419672131147541,0.639455782312925,0.215189873417722,0.427322827865323,0.580327868852459,TRUE,FALSE,0.419672131147541,0.639455782312925,0.215189873417722,0.427322827865323,FALSE
0.1,27,0.5,0.527798224723966,0.529605263157895,0.501639344262295,0.374149659863946,0.620253164556962,0.497201412210454,0.498360655737705,FALSE,FALSE,0.501639344262295,0.374149659863946,0.620253164556962,0.497201412210454,FALSE
0.1,98,0.5,0.54702316518727,0.549342105263158,0.452459016393443,0.333333333333333,0.563291139240506,0.44831223628692,0.547540983606557,TRUE,FALSE,0.452459016393443,0.333333333333333,0.563291139240506,0.44831223628692,FALSE
0.1,41,0.5,0.535332323013639,0.529605263157895,0.432786885245902,0.693877551020408,0.189873417721519,0.441875484370964,0.567213114754098,TRUE,FALSE,0.432786885245902,0.693877551020408,0.189873417721519,0.441875484370964,FALSE
0.1,64,0.5,0.552868586274085,0.549342105263158,0.442622950819672,0.605442176870748,0.291139240506329,0.448290708688539,0.557377049180328,TRUE,FALSE,0.442622950819672,0.605442176870748,0.291139240506329,0.448290708688539,FALSE
