"lambda","seed","Acc","Sens","Spec","mean_yhat","n_pred_Up","n_pred_Down","is_MC","error"
0,23,0.457142857142857,0.464285714285714,0.428571428571429,0.498648704801287,17,18,FALSE,NA
0,27,0.571428571428571,0.607142857142857,0.428571428571429,0.493367615767888,21,14,FALSE,NA
0,98,0.542857142857143,0.535714285714286,0.571428571428571,0.508796479872295,18,17,FALSE,NA
0,41,0.571428571428571,0.607142857142857,0.428571428571429,0.500720613343375,21,14,FALSE,NA
0,64,0.571428571428571,0.607142857142857,0.428571428571429,0.511406082766397,21,14,FALSE,NA
0.1,23,0.457142857142857,0.464285714285714,0.428571428571429,0.498848185368947,17,18,FALSE,NA
0.1,27,0.571428571428571,0.607142857142857,0.428571428571429,0.494137328011649,21,14,FALSE,NA
0.1,98,0.571428571428571,0.607142857142857,0.428571428571429,0.508840761865888,21,14,FALSE,NA
0.1,41,0.571428571428571,0.607142857142857,0.428571428571429,0.499783014399665,21,14,FALSE,NA
0.1,64,0.571428571428571,0.607142857142857,0.428571428571429,0.509575575590134,21,14,FALSE,NA
0.3,23,0.457142857142857,0.464285714285714,0.428571428571429,0.499215424060822,17,18,FALSE,NA
0.3,27,0.571428571428571,0.607142857142857,0.428571428571429,0.495553814513343,21,14,FALSE,NA
0.3,98,0.571428571428571,0.607142857142857,0.428571428571429,0.50700130718095,21,14,FALSE,NA
0.3,41,0.571428571428571,0.607142857142857,0.428571428571429,0.499201171738761,21,14,FALSE,NA
0.3,64,0.571428571428571,0.607142857142857,0.428571428571429,0.503639534541539,21,14,FALSE,NA
0.5,23,0.457142857142857,0.464285714285714,0.428571428571429,0.499551200015204,17,18,FALSE,NA
0.5,27,0.571428571428571,0.607142857142857,0.428571428571429,0.498340607540948,21,14,FALSE,NA
0.5,98,0.571428571428571,0.607142857142857,0.428571428571429,0.505827081203461,21,14,FALSE,NA
0.5,41,0.571428571428571,0.607142857142857,0.428571428571429,0.499523256506239,21,14,FALSE,NA
0.5,64,0.571428571428571,0.607142857142857,0.428571428571429,0.505447298288345,21,14,FALSE,NA
