"lambda","seed","best_thr","val_F1","val_Acc","test_F1_05","test_Acc_05","test_Spec_05","test_Sens_05","test_is_MC_05","test_F1_opt","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_is_MC_opt"
0,23,0.3,0.90625,0.828571428571429,0.577777777777778,0.457142857142857,0.428571428571429,0.464285714285714,FALSE,0.888888888888889,0.8,0,1,TRUE
0,27,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0,98,0.3,0.90625,0.828571428571429,0.652173913043478,0.542857142857143,0.571428571428571,0.535714285714286,FALSE,0.888888888888889,0.8,0,1,TRUE
0,41,0.45,0.920634920634921,0.857142857142857,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0,64,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.1,23,0.3,0.90625,0.828571428571429,0.577777777777778,0.457142857142857,0.428571428571429,0.464285714285714,FALSE,0.888888888888889,0.8,0,1,TRUE
0.1,27,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.1,98,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.1,41,0.45,0.920634920634921,0.857142857142857,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.1,64,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.3,23,0.3,0.90625,0.828571428571429,0.577777777777778,0.457142857142857,0.428571428571429,0.464285714285714,FALSE,0.888888888888889,0.8,0,1,TRUE
0.3,27,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.3,98,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.3,41,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.3,64,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.5,23,0.3,0.90625,0.828571428571429,0.577777777777778,0.457142857142857,0.428571428571429,0.464285714285714,FALSE,0.888888888888889,0.8,0,1,TRUE
0.5,27,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.5,98,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.5,41,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
0.5,64,0.3,0.90625,0.828571428571429,0.693877551020408,0.571428571428571,0.428571428571429,0.607142857142857,FALSE,0.888888888888889,0.8,0,1,TRUE
