"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.531673522407447,0.532894736842105,0.40327868852459,0.346938775510204,0.455696202531646,0.401317489020925,FALSE,0.40327868852459,0.346938775510204,0.455696202531646,0.401317489020925,FALSE
0,27,0.5,0.558778956484087,0.559210526315789,0.429508196721311,0.462585034013605,0.39873417721519,0.430659605614398,FALSE,0.429508196721311,0.462585034013605,0.39873417721519,0.430659605614398,FALSE
0,98,0.5,0.538514830049794,0.539473684210526,0.436065573770492,0.394557823129252,0.474683544303797,0.434620683716525,FALSE,0.436065573770492,0.394557823129252,0.474683544303797,0.434620683716525,FALSE
0,41,0.5,0.556072743017969,0.555921052631579,0.39672131147541,0.401360544217687,0.392405063291139,0.396882803754413,FALSE,0.39672131147541,0.401360544217687,0.392405063291139,0.396882803754413,FALSE
0,64,0.5,0.542000432994155,0.542763157894737,0.422950819672131,0.401360544217687,0.443037974683544,0.422199259450616,FALSE,0.422950819672131,0.401360544217687,0.443037974683544,0.422199259450616,FALSE
0.05,23,0.5,0.524962113011474,0.526315789473684,0.40327868852459,0.340136054421769,0.462025316455696,0.401080685438732,FALSE,0.40327868852459,0.340136054421769,0.462025316455696,0.401080685438732,FALSE
0.05,27,0.5,0.555942844771596,0.555921052631579,0.429508196721311,0.462585034013605,0.39873417721519,0.430659605614398,FALSE,0.429508196721311,0.462585034013605,0.39873417721519,0.430659605614398,FALSE
0.05,98,0.5,0.538514830049794,0.539473684210526,0.436065573770492,0.394557823129252,0.474683544303797,0.434620683716525,FALSE,0.436065573770492,0.394557823129252,0.474683544303797,0.434620683716525,FALSE
0.05,41,0.5,0.550010824853864,0.549342105263158,0.40327868852459,0.469387755102041,0.341772151898734,0.405579953500388,FALSE,0.40327868852459,0.469387755102041,0.341772151898734,0.405579953500388,FALSE
0.05,64,0.5,0.541221043515913,0.542763157894737,0.409836065573771,0.353741496598639,0.462025316455696,0.407883406527168,FALSE,0.409836065573771,0.353741496598639,0.462025316455696,0.407883406527168,FALSE
0.1,23,0.5,0.533232301363932,0.532894736842105,0.409836065573771,0.45578231292517,0.367088607594937,0.411435460260053,FALSE,0.409836065573771,0.45578231292517,0.367088607594937,0.411435460260053,FALSE
0.1,27,0.5,0.562654254167569,0.5625,0.436065573770492,0.482993197278912,0.392405063291139,0.437699130285025,FALSE,0.436065573770492,0.482993197278912,0.392405063291139,0.437699130285025,FALSE
0.1,98,0.5,0.538514830049794,0.539473684210526,0.442622950819672,0.380952380952381,0.5,0.44047619047619,FALSE,0.442622950819672,0.380952380952381,0.5,0.44047619047619,FALSE
0.1,41,0.5,0.549751028361117,0.549342105263158,0.416393442622951,0.462585034013605,0.373417721518987,0.418001377766296,FALSE,0.416393442622951,0.462585034013605,0.373417721518987,0.418001377766296,FALSE
0.1,64,0.5,0.544057155228404,0.546052631578947,0.39672131147541,0.319727891156463,0.468354430379747,0.394041160768105,FALSE,0.39672131147541,0.319727891156463,0.468354430379747,0.394041160768105,FALSE
