"fund","lambda","seed","naive_acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","is_degenerate"
"ALZ",0,23,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0,27,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0,98,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0,41,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0,64,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.05,23,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.05,27,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.05,98,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.05,41,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.05,64,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.1,23,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.1,27,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.1,98,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.1,41,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
"ALZ",0.1,64,1,1,NA,1,NA,0,FALSE,TRUE,TRUE
