"fund","lambda","seed","naive_acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","is_degenerate"
"AMZ",0,23,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0,27,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0,98,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0,41,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0,64,0.8,0.628571428571429,0.142857142857143,0.75,0.446428571428571,0.371428571428571,FALSE,FALSE,FALSE
"AMZ",0.05,23,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.05,27,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.05,98,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.05,41,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.05,64,0.8,0.628571428571429,0.142857142857143,0.75,0.446428571428571,0.371428571428571,FALSE,FALSE,FALSE
"AMZ",0.1,23,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.1,27,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.1,98,0.8,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,0.428571428571429,FALSE,FALSE,FALSE
"AMZ",0.1,41,0.8,0.542857142857143,0.714285714285714,0.5,0.607142857142857,0.457142857142857,FALSE,FALSE,FALSE
"AMZ",0.1,64,0.8,0.628571428571429,0.142857142857143,0.75,0.446428571428571,0.371428571428571,FALSE,FALSE,FALSE
