"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.559659090909091,0.559210526315789,0.491803278688525,0.503311258278146,0.480519480519481,0.491915369398813,0.508196721311475,TRUE,FALSE,0.491803278688525,0.503311258278146,0.480519480519481,0.491915369398813,FALSE
0,27,0.5,0.577414772727273,0.572368421052632,0.495081967213115,0.509933774834437,0.480519480519481,0.495226627676959,0.504918032786885,FALSE,FALSE,0.495081967213115,0.509933774834437,0.480519480519481,0.495226627676959,FALSE
0,98,0.5,0.577769886363636,0.578947368421053,0.511475409836066,0.536423841059603,0.487012987012987,0.511718414036295,0.488524590163934,FALSE,FALSE,0.511475409836066,0.536423841059603,0.487012987012987,0.511718414036295,FALSE
0,41,0.5,0.565696022727273,0.5625,0.504918032786885,0.52317880794702,0.487012987012987,0.505095897480003,0.495081967213115,FALSE,FALSE,0.504918032786885,0.52317880794702,0.487012987012987,0.505095897480003,FALSE
0,64,0.5,0.563210227272727,0.555921052631579,0.478688524590164,0.509933774834437,0.448051948051948,0.478992861443193,0.521311475409836,TRUE,FALSE,0.478688524590164,0.509933774834437,0.448051948051948,0.478992861443193,FALSE
0.05,23,0.5,0.559659090909091,0.559210526315789,0.491803278688525,0.490066225165563,0.493506493506494,0.491786359336028,0.508196721311475,TRUE,FALSE,0.491803278688525,0.490066225165563,0.493506493506494,0.491786359336028,FALSE
0.05,27,0.5,0.571732954545455,0.565789473684211,0.488524590163934,0.52317880794702,0.454545454545455,0.488862131246237,0.511475409836066,TRUE,FALSE,0.488524590163934,0.52317880794702,0.454545454545455,0.488862131246237,FALSE
0.05,98,0.5,0.590553977272727,0.588815789473684,0.524590163934426,0.582781456953642,0.467532467532468,0.525156962243055,0.475409836065574,FALSE,FALSE,0.524590163934426,0.582781456953642,0.467532467532468,0.525156962243055,FALSE
0.05,41,0.5,0.565696022727273,0.5625,0.521311475409836,0.556291390728477,0.487012987012987,0.521652188870732,0.478688524590164,FALSE,FALSE,0.521311475409836,0.556291390728477,0.487012987012987,0.521652188870732,FALSE
0.05,64,0.5,0.562144886363636,0.555921052631579,0.478688524590164,0.509933774834437,0.448051948051948,0.478992861443193,0.521311475409836,TRUE,FALSE,0.478688524590164,0.509933774834437,0.448051948051948,0.478992861443193,FALSE
0.1,23,0.5,0.559659090909091,0.559210526315789,0.491803278688525,0.52317880794702,0.461038961038961,0.49210888449299,0.508196721311475,TRUE,FALSE,0.491803278688525,0.52317880794702,0.461038961038961,0.49210888449299,FALSE
0.1,27,0.5,0.571732954545455,0.565789473684211,0.485245901639344,0.509933774834437,0.461038961038961,0.485486367936699,0.514754098360656,TRUE,FALSE,0.485245901639344,0.509933774834437,0.461038961038961,0.485486367936699,FALSE
0.1,98,0.5,0.552911931818182,0.5625,0.495081967213115,0.384105960264901,0.603896103896104,0.494001032080502,0.504918032786885,FALSE,FALSE,0.495081967213115,0.384105960264901,0.603896103896104,0.494001032080502,FALSE
0.1,41,0.5,0.565696022727273,0.5625,0.518032786885246,0.549668874172185,0.487012987012987,0.518340930592586,0.481967213114754,FALSE,FALSE,0.518032786885246,0.549668874172185,0.487012987012987,0.518340930592586,FALSE
0.1,64,0.5,0.583096590909091,0.578947368421053,0.501639344262295,0.596026490066225,0.409090909090909,0.502558699578567,0.498360655737705,FALSE,FALSE,0.501639344262295,0.596026490066225,0.409090909090909,0.502558699578567,FALSE
