"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.535678718337302,0.536184210526316,0.4,0.414965986394558,0.386075949367089,0.400520967880823,0.6,TRUE,FALSE,0.4,0.414965986394558,0.386075949367089,0.400520967880823,FALSE
0,27,0.5,0.542390127733276,0.542763157894737,0.409836065573771,0.448979591836735,0.373417721518987,0.411198656677861,0.590163934426229,TRUE,FALSE,0.409836065573771,0.448979591836735,0.373417721518987,0.411198656677861,FALSE
0,98,0.5,0.544576748213899,0.546052631578947,0.363934426229508,0.285714285714286,0.436708860759494,0.36121157323689,0.636065573770492,TRUE,FALSE,0.363934426229508,0.285714285714286,0.436708860759494,0.36121157323689,FALSE
0,41,0.5,0.54743450963412,0.546052631578947,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.60327868852459,TRUE,FALSE,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,FALSE
0,64,0.5,0.547304611387746,0.546052631578947,0.370491803278689,0.448979591836735,0.29746835443038,0.373223973133557,0.629508196721311,TRUE,FALSE,0.370491803278689,0.448979591836735,0.29746835443038,0.373223973133557,FALSE
0.05,23,0.5,0.539164321281663,0.539473684210526,0.413114754098361,0.462585034013605,0.367088607594937,0.414836820804271,0.586885245901639,TRUE,FALSE,0.413114754098361,0.462585034013605,0.367088607594937,0.414836820804271,FALSE
0.05,27,0.5,0.545356137692141,0.546052631578947,0.409836065573771,0.435374149659864,0.386075949367089,0.410725049513476,0.590163934426229,TRUE,FALSE,0.409836065573771,0.435374149659864,0.386075949367089,0.410725049513476,FALSE
0.05,98,0.5,0.538384931803421,0.539473684210526,0.422950819672131,0.306122448979592,0.531645569620253,0.418884009299922,0.577049180327869,TRUE,FALSE,0.422950819672131,0.306122448979592,0.531645569620253,0.418884009299922,FALSE
0.05,41,0.5,0.547564407880494,0.546052631578947,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.60327868852459,TRUE,FALSE,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,FALSE
0.05,64,0.5,0.546785018402252,0.546052631578947,0.383606557377049,0.442176870748299,0.329113924050633,0.385645397399466,0.616393442622951,TRUE,FALSE,0.383606557377049,0.442176870748299,0.329113924050633,0.385645397399466,FALSE
0.1,23,0.5,0.535289023598181,0.536184210526316,0.40655737704918,0.428571428571429,0.386075949367089,0.407323688969259,0.59344262295082,TRUE,FALSE,0.40655737704918,0.428571428571429,0.386075949367089,0.407323688969259,FALSE
0.1,27,0.5,0.544706646460273,0.546052631578947,0.39672131147541,0.408163265306122,0.386075949367089,0.397119607336606,0.60327868852459,TRUE,FALSE,0.39672131147541,0.408163265306122,0.386075949367089,0.397119607336606,FALSE
0.1,98,0.5,0.545875730677636,0.546052631578947,0.386885245901639,0.333333333333333,0.436708860759494,0.385021097046414,0.613114754098361,TRUE,FALSE,0.386885245901639,0.333333333333333,0.436708860759494,0.385021097046414,FALSE
0.1,41,0.5,0.548213899112362,0.546052631578947,0.39344262295082,0.476190476190476,0.316455696202532,0.396323086196504,0.60655737704918,TRUE,FALSE,0.39344262295082,0.476190476190476,0.316455696202532,0.396323086196504,FALSE
0.1,64,0.5,0.547044814894999,0.546052631578947,0.383606557377049,0.45578231292517,0.316455696202532,0.386119004563851,0.616393442622951,TRUE,FALSE,0.383606557377049,0.45578231292517,0.316455696202532,0.386119004563851,FALSE
