"ticker","n_runs","naive","mean_best_thr","Acc_05","BalAcc_05","Acc_flip_05","flip_wins_05","MC_05_count","Acc_opt","BalAcc_opt","MC_opt_count"
"DOAS.IS",15,0.485245901639344,0.473333333333333,0.512786885245902,0.511710277156137,0.487213114754098,10,0,0.492021857923497,0.495297526826189,0
"FROTO.IS",15,0.495081967213115,0.493333333333333,0.52,0.520977036208824,0.48,1,0,0.509071038251366,0.510059918006938,0
"HEKTS.IS",15,0.432786885245902,0.486666666666667,0.423169398907104,0.415815671162492,0.576830601092896,15,0,0.453333333333333,0.460957844339347,0
"ISCTR.IS",15,0.491803278688525,0.483333333333333,0.495956284153005,0.495347670250896,0.504043715846995,7,0,0.501857923497268,0.503390681003584,0
"KRDMD.IS",15,0.524590163934426,0.5,0.460765027322404,0.458326149425287,0.539234972677596,13,0,0.460765027322404,0.458326149425287,0
"PGSUS.IS",15,0.488524590163934,0.43,0.435409836065574,0.435006883496816,0.564590163934426,15,0,0.456393442622951,0.463650834623989,0
"SASA.IS",15,0.444444444444444,0.52,0.469360269360269,0.482171717171717,0.530639730639731,15,0,0.499438832772166,0.487777777777778,2
"TAVHL.IS",15,0.498360655737705,0.496666666666667,0.499890710382514,0.499965600275198,0.500109289617486,7,0,0.498142076502732,0.498295780300424,0
"THYAO.IS",15,0.518032786885246,0.5,0.395628415300546,0.396506788369356,0.604371584699454,15,0,0.395628415300546,0.396506788369356,0
"YKBNK.IS",15,0.514754098360656,0.5,0.559562841530055,0.558049291329546,0.440437158469945,0,0,0.559562841530055,0.558049291329546,0
