"IN_LEN","lambda","seed","Acc","Acc_flip","Sens","Spec","is_MC","naive","flip_beats_naive","strict_anti_pred"
2,0,23,0.491228070175439,0.508771929824561,0.53393665158371,0.451063829787234,FALSE,0.515350877192982,FALSE,FALSE
2,0,27,0.486842105263158,0.513157894736842,0.475113122171946,0.497872340425532,FALSE,0.515350877192982,FALSE,FALSE
2,0,98,0.480263157894737,0.519736842105263,0.542986425339366,0.421276595744681,FALSE,0.515350877192982,TRUE,TRUE
2,0,41,0.475877192982456,0.524122807017544,0.556561085972851,0.4,FALSE,0.515350877192982,TRUE,TRUE
2,0,64,0.480263157894737,0.519736842105263,0.493212669683258,0.468085106382979,FALSE,0.515350877192982,TRUE,TRUE
2,0.05,23,0.50219298245614,0.49780701754386,0.547511312217195,0.459574468085106,FALSE,0.515350877192982,FALSE,FALSE
2,0.05,27,0.484649122807018,0.515350877192982,0.475113122171946,0.493617021276596,FALSE,0.515350877192982,FALSE,FALSE
2,0.05,98,0.482456140350877,0.517543859649123,0.547511312217195,0.421276595744681,FALSE,0.515350877192982,TRUE,TRUE
2,0.05,41,0.475877192982456,0.524122807017544,0.561085972850679,0.395744680851064,FALSE,0.515350877192982,TRUE,TRUE
2,0.05,64,0.480263157894737,0.519736842105263,0.497737556561086,0.463829787234043,FALSE,0.515350877192982,TRUE,TRUE
2,0.1,23,0.5,0.5,0.538461538461538,0.463829787234043,FALSE,0.515350877192982,FALSE,FALSE
2,0.1,27,0.489035087719298,0.510964912280702,0.48868778280543,0.48936170212766,FALSE,0.515350877192982,FALSE,FALSE
2,0.1,98,0.489035087719298,0.510964912280702,0.542986425339366,0.438297872340426,FALSE,0.515350877192982,FALSE,FALSE
2,0.1,41,0.478070175438596,0.521929824561403,0.583710407239819,0.378723404255319,FALSE,0.515350877192982,TRUE,TRUE
2,0.1,64,0.482456140350877,0.517543859649123,0.51131221719457,0.45531914893617,FALSE,0.515350877192982,TRUE,TRUE
5,0,23,0.515350877192982,0.484649122807018,0.479638009049774,0.548936170212766,FALSE,0.515350877192982,FALSE,FALSE
5,0,27,0.528508771929825,0.471491228070175,0.538461538461538,0.519148936170213,FALSE,0.515350877192982,FALSE,FALSE
5,0,98,0.5,0.5,0.429864253393665,0.565957446808511,FALSE,0.515350877192982,FALSE,FALSE
5,0,41,0.515350877192982,0.484649122807018,0.438914027149321,0.587234042553191,FALSE,0.515350877192982,FALSE,FALSE
5,0,64,0.519736842105263,0.480263157894737,0.479638009049774,0.557446808510638,FALSE,0.515350877192982,FALSE,FALSE
