"day","actual","vote_count","majority_signal","SMA_Cross","EMA_Cross","RSI_14","MACD","BBand","Stoch","CCI","WilliamsR","ADX","ROC"
8936,0,1,0,0,0,0,0,0,0,0,1,0,0
8937,1,2,0,0,0,0,0,0,1,0,1,0,0
8938,0,1,0,0,0,0,0,0,0,0,1,0,0
8939,0,1,0,0,0,0,0,0,0,0,1,0,0
8940,0,1,0,0,0,0,0,0,0,0,1,0,0
8941,1,2,0,0,0,0,0,0,1,0,1,0,0
8942,1,2,0,0,0,0,0,0,1,0,1,0,0
8943,0,1,0,0,0,0,0,0,0,0,1,0,0
8944,1,2,0,0,0,0,0,0,1,0,1,0,0
8945,0,1,0,0,0,0,0,0,0,0,1,0,0
8946,1,6,1,0,0,0,1,1,1,1,1,0,1
8947,0,4,0,0,0,0,1,0,1,0,1,0,1
8948,1,8,1,0,0,1,1,1,1,1,1,1,1
8949,1,9,1,1,0,1,1,1,1,1,1,1,1
8950,0,8,1,1,0,1,1,1,0,1,1,1,1
8951,0,6,1,1,0,0,1,1,0,1,1,0,1
8952,1,6,1,1,0,0,1,1,0,1,1,0,1
8953,1,9,1,1,0,1,1,1,1,1,1,1,1
8954,0,9,1,1,0,1,1,1,1,1,1,1,1
8955,0,8,1,1,0,1,1,1,0,1,1,1,1
8956,1,9,1,1,0,1,1,1,1,1,1,1,1
8957,0,9,1,1,1,1,1,1,0,1,1,1,1
8958,0,9,1,1,1,1,1,1,0,1,1,1,1
8959,0,8,1,1,1,1,1,1,0,1,1,1,0
8960,1,10,1,1,1,1,1,1,1,1,1,1,1
8961,1,10,1,1,1,1,1,1,1,1,1,1,1
8962,1,10,1,1,1,1,1,1,1,1,1,1,1
8963,0,9,1,1,1,1,1,1,0,1,1,1,1
8964,1,10,1,1,1,1,1,1,1,1,1,1,1
8965,1,10,1,1,1,1,1,1,1,1,1,1,1
8966,1,9,1,1,1,1,1,1,0,1,1,1,1
8967,0,9,1,1,1,1,1,1,0,1,1,1,1
8968,1,10,1,1,1,1,1,1,1,1,1,1,1
8969,0,9,1,1,1,1,1,1,0,1,1,1,1
8970,0,3,0,1,1,0,0,0,0,0,1,0,0
8971,1,3,0,1,1,0,0,0,0,0,1,0,0
