"arch","lambda","seed","best_thr","test_Acc_05","test_Spec_05","test_Sens_05","test_Acc_flip_05","test_flip_beats_naive","test_is_MC_05"
"TCN",0,23,0.5,0.373770491803279,0.36734693877551,0.379746835443038,0.626229508196721,TRUE,FALSE
"TCN",0,27,0.5,0.416393442622951,0.374149659863946,0.455696202531646,0.583606557377049,TRUE,FALSE
"TCN",0,98,0.5,0.429508196721311,0.224489795918367,0.620253164556962,0.570491803278689,TRUE,FALSE
"TCN",0,41,0.5,0.419672131147541,0.428571428571429,0.411392405063291,0.580327868852459,TRUE,FALSE
"TCN",0,64,0.5,0.436065573770492,0.54421768707483,0.335443037974684,0.563934426229508,TRUE,FALSE
"TCN",0.05,23,0.45,0.39672131147541,0.428571428571429,0.367088607594937,0.60327868852459,TRUE,FALSE
"TCN",0.05,27,0.5,0.409836065573771,0.326530612244898,0.487341772151899,0.590163934426229,TRUE,FALSE
"TCN",0.05,98,0.5,0.422950819672131,0.210884353741497,0.620253164556962,0.577049180327869,TRUE,FALSE
"TCN",0.05,41,0.5,0.39344262295082,0.360544217687075,0.424050632911392,0.60655737704918,TRUE,FALSE
"TCN",0.05,64,0.5,0.419672131147541,0.435374149659864,0.40506329113924,0.580327868852459,TRUE,FALSE
"TCN",0.1,23,0.5,0.39672131147541,0.408163265306122,0.386075949367089,0.60327868852459,TRUE,FALSE
"TCN",0.1,27,0.5,0.383606557377049,0.387755102040816,0.379746835443038,0.616393442622951,TRUE,FALSE
"TCN",0.1,98,0.5,0.429508196721311,0.224489795918367,0.620253164556962,0.570491803278689,TRUE,FALSE
"TCN",0.1,41,0.5,0.416393442622951,0.428571428571429,0.40506329113924,0.583606557377049,TRUE,FALSE
"TCN",0.1,64,0.5,0.419672131147541,0.421768707482993,0.417721518987342,0.580327868852459,TRUE,FALSE
