"arch","lambda","seed","best_thr","test_Acc_05","test_Spec_05","test_Sens_05","test_Acc_flip_05","test_flip_beats_naive","test_is_MC_05"
"Transformer",0,23,0.5,0.478688524590164,0.836734693877551,0.145569620253165,0.521311475409836,TRUE,FALSE
"Transformer",0,27,0.45,0.39672131147541,0.394557823129252,0.39873417721519,0.60327868852459,TRUE,FALSE
"Transformer",0,98,0.5,0.40327868852459,0.428571428571429,0.379746835443038,0.59672131147541,TRUE,FALSE
"Transformer",0,41,0.45,0.459016393442623,0.727891156462585,0.208860759493671,0.540983606557377,TRUE,FALSE
"Transformer",0,64,0.5,0.39344262295082,0.448979591836735,0.341772151898734,0.60655737704918,TRUE,FALSE
"Transformer",0.05,23,0.5,0.478688524590164,0.829931972789116,0.151898734177215,0.521311475409836,TRUE,FALSE
"Transformer",0.05,27,0.5,0.39672131147541,0.394557823129252,0.39873417721519,0.60327868852459,TRUE,FALSE
"Transformer",0.05,98,0.5,0.40655737704918,0.428571428571429,0.386075949367089,0.59344262295082,TRUE,FALSE
"Transformer",0.05,41,0.5,0.462295081967213,0.605442176870748,0.329113924050633,0.537704918032787,TRUE,FALSE
"Transformer",0.05,64,0.4,0.4,0.537414965986395,0.272151898734177,0.6,TRUE,FALSE
"Transformer",0.1,23,0.5,0.472131147540984,0.782312925170068,0.183544303797468,0.527868852459016,TRUE,FALSE
"Transformer",0.1,27,0.5,0.383606557377049,0.374149659863946,0.392405063291139,0.616393442622951,TRUE,FALSE
"Transformer",0.1,98,0.5,0.465573770491803,0.836734693877551,0.120253164556962,0.534426229508197,TRUE,FALSE
"Transformer",0.1,41,0.4,0.462295081967213,0.761904761904762,0.183544303797468,0.537704918032787,TRUE,FALSE
"Transformer",0.1,64,0.4,0.370491803278689,0.537414965986395,0.215189873417722,0.629508196721311,TRUE,FALSE
