"voting_score","n_up_votes","n_archs","actual"
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,1
0,0,5,1
0,0,5,1
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,1
