"fold","arch","naive","Acc","Acc_flip","Sens","Spec","is_MC","flip_beats_naive","strict_anti_pred"
1,"BiLSTM",0.55,0.48,0.52,0.611111111111111,0.372727272727273,FALSE,FALSE,FALSE
1,"GRU",0.55,0.46,0.54,0.577777777777778,0.363636363636364,FALSE,FALSE,FALSE
1,"SimpleRNN",0.55,0.465,0.535,0.488888888888889,0.445454545454545,FALSE,FALSE,FALSE
1,"Conv1D",0.55,0.54,0.46,0.555555555555556,0.527272727272727,FALSE,FALSE,FALSE
1,"TCN",0.55,0.495,0.505,0.444444444444444,0.536363636363636,FALSE,FALSE,FALSE
1,"Transformer",0.55,0.475,0.525,0.588888888888889,0.381818181818182,FALSE,FALSE,FALSE
2,"BiLSTM",0.48,0.415,0.585,0.326923076923077,0.510416666666667,FALSE,TRUE,TRUE
2,"GRU",0.48,0.435,0.565,0.432692307692308,0.4375,FALSE,TRUE,TRUE
2,"SimpleRNN",0.48,0.495,0.505,0.548076923076923,0.4375,FALSE,TRUE,FALSE
2,"Conv1D",0.48,0.445,0.555,0.346153846153846,0.552083333333333,FALSE,TRUE,TRUE
2,"TCN",0.48,0.455,0.545,0.355769230769231,0.5625,FALSE,TRUE,TRUE
2,"Transformer",0.48,0.45,0.55,0.461538461538462,0.4375,FALSE,TRUE,TRUE
3,"BiLSTM",0.505,0.525,0.475,0.515151515151515,0.534653465346535,FALSE,FALSE,FALSE
3,"GRU",0.505,0.51,0.49,0.484848484848485,0.534653465346535,FALSE,FALSE,FALSE
3,"SimpleRNN",0.505,0.51,0.49,0.505050505050505,0.514851485148515,FALSE,FALSE,FALSE
3,"Conv1D",0.505,0.525,0.475,0.515151515151515,0.534653465346535,FALSE,FALSE,FALSE
3,"TCN",0.505,0.54,0.46,0.595959595959596,0.485148514851485,FALSE,FALSE,FALSE
3,"Transformer",0.505,0.495,0.505,0.454545454545455,0.534653465346535,FALSE,FALSE,FALSE
4,"BiLSTM",0.51,0.525,0.475,0.438775510204082,0.607843137254902,FALSE,FALSE,FALSE
4,"GRU",0.51,0.51,0.49,0.459183673469388,0.558823529411765,FALSE,FALSE,FALSE
4,"SimpleRNN",0.51,0.455,0.545,0.438775510204082,0.470588235294118,FALSE,TRUE,TRUE
4,"Conv1D",0.51,0.545,0.455,0.438775510204082,0.647058823529412,FALSE,FALSE,FALSE
4,"TCN",0.51,0.54,0.46,0.418367346938776,0.656862745098039,FALSE,FALSE,FALSE
4,"Transformer",0.51,0.52,0.48,0.520408163265306,0.519607843137255,FALSE,FALSE,FALSE
5,"BiLSTM",0.53,0.465,0.535,0.404255319148936,0.518867924528302,FALSE,TRUE,TRUE
5,"GRU",0.53,0.47,0.53,0.404255319148936,0.528301886792453,FALSE,FALSE,FALSE
5,"SimpleRNN",0.53,0.535,0.465,0.478723404255319,0.584905660377358,FALSE,FALSE,FALSE
5,"Conv1D",0.53,0.49,0.51,0.51063829787234,0.471698113207547,FALSE,FALSE,FALSE
5,"TCN",0.53,0.475,0.525,0.414893617021277,0.528301886792453,FALSE,FALSE,FALSE
5,"Transformer",0.53,0.445,0.555,0.446808510638298,0.443396226415094,FALSE,TRUE,TRUE
6,"BiLSTM",0.54,0.51,0.49,0.543478260869565,0.481481481481481,FALSE,FALSE,FALSE
6,"GRU",0.54,0.515,0.485,0.456521739130435,0.564814814814815,FALSE,FALSE,FALSE
6,"SimpleRNN",0.54,0.59,0.41,0.619565217391304,0.564814814814815,FALSE,FALSE,FALSE
6,"Conv1D",0.54,0.56,0.44,0.58695652173913,0.537037037037037,FALSE,FALSE,FALSE
6,"TCN",0.54,0.585,0.415,0.532608695652174,0.62962962962963,FALSE,FALSE,FALSE
6,"Transformer",0.54,0.56,0.44,0.445652173913043,0.657407407407407,FALSE,FALSE,FALSE
7,"BiLSTM",0.525,0.59,0.41,0.715789473684211,0.476190476190476,FALSE,FALSE,FALSE
7,"GRU",0.525,0.58,0.42,0.663157894736842,0.504761904761905,FALSE,FALSE,FALSE
7,"SimpleRNN",0.525,0.57,0.43,0.673684210526316,0.476190476190476,FALSE,FALSE,FALSE
7,"Conv1D",0.525,0.58,0.42,0.652631578947368,0.514285714285714,FALSE,FALSE,FALSE
7,"TCN",0.525,0.575,0.425,0.705263157894737,0.457142857142857,FALSE,FALSE,FALSE
7,"Transformer",0.525,0.54,0.46,0.652631578947368,0.438095238095238,FALSE,FALSE,FALSE
