"fold","arch","seed","naive","Acc","Acc_flip","Sens","Spec","is_MC","flip_beats_naive","strict_anti_pred"
1,"BiLSTM",23,0.545,0.555,0.445,0.626373626373626,0.495412844036697,FALSE,FALSE,FALSE
1,"BiLSTM",42,0.545,0.545,0.455,0.571428571428571,0.522935779816514,FALSE,FALSE,FALSE
1,"BiLSTM",98,0.545,0.545,0.455,0.604395604395604,0.495412844036697,FALSE,FALSE,FALSE
1,"GRU",23,0.545,0.565,0.435,0.571428571428571,0.559633027522936,FALSE,FALSE,FALSE
1,"GRU",42,0.545,0.495,0.505,0.417582417582418,0.559633027522936,FALSE,FALSE,FALSE
1,"GRU",98,0.545,0.525,0.475,0.582417582417582,0.477064220183486,FALSE,FALSE,FALSE
1,"SimpleRNN",23,0.545,0.505,0.495,0.637362637362637,0.394495412844037,FALSE,FALSE,FALSE
1,"SimpleRNN",42,0.545,0.545,0.455,0.615384615384615,0.486238532110092,FALSE,FALSE,FALSE
1,"SimpleRNN",98,0.545,0.515,0.485,0.516483516483517,0.513761467889908,FALSE,FALSE,FALSE
1,"Conv1D",23,0.545,0.525,0.475,0.417582417582418,0.614678899082569,FALSE,FALSE,FALSE
1,"Conv1D",42,0.545,0.56,0.44,0.571428571428571,0.55045871559633,FALSE,FALSE,FALSE
1,"Conv1D",98,0.545,0.48,0.52,0.43956043956044,0.513761467889908,FALSE,FALSE,FALSE
1,"TCN",23,0.545,0.55,0.45,0.747252747252747,0.385321100917431,FALSE,FALSE,FALSE
1,"TCN",42,0.545,0.535,0.465,0.626373626373626,0.458715596330275,FALSE,FALSE,FALSE
1,"TCN",98,0.545,0.535,0.465,0.505494505494505,0.559633027522936,FALSE,FALSE,FALSE
1,"Transformer",23,0.545,0.53,0.47,0.549450549450549,0.513761467889908,FALSE,FALSE,FALSE
1,"Transformer",42,0.545,0.555,0.445,0.626373626373626,0.495412844036697,FALSE,FALSE,FALSE
1,"Transformer",98,0.545,0.48,0.52,0.461538461538462,0.495412844036697,FALSE,FALSE,FALSE
2,"BiLSTM",23,0.43,0.47,0.53,0.324561403508772,0.662790697674419,FALSE,TRUE,FALSE
2,"BiLSTM",42,0.43,0.435,0.565,0.526315789473684,0.313953488372093,FALSE,TRUE,FALSE
2,"BiLSTM",98,0.43,0.465,0.535,0.535087719298246,0.372093023255814,FALSE,TRUE,FALSE
2,"GRU",23,0.43,0.44,0.56,0.535087719298246,0.313953488372093,FALSE,TRUE,FALSE
2,"GRU",42,0.43,0.44,0.56,0.456140350877193,0.418604651162791,FALSE,TRUE,FALSE
2,"GRU",98,0.43,0.49,0.51,0.578947368421053,0.372093023255814,FALSE,TRUE,FALSE
2,"SimpleRNN",23,0.43,0.38,0.62,0.429824561403509,0.313953488372093,FALSE,TRUE,TRUE
2,"SimpleRNN",42,0.43,0.455,0.545,0.535087719298246,0.348837209302326,FALSE,TRUE,FALSE
2,"SimpleRNN",98,0.43,0.415,0.585,0.412280701754386,0.418604651162791,FALSE,TRUE,TRUE
2,"Conv1D",23,0.43,0.445,0.555,0.482456140350877,0.395348837209302,FALSE,TRUE,FALSE
2,"Conv1D",42,0.43,0.45,0.55,0.508771929824561,0.372093023255814,FALSE,TRUE,FALSE
