"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.5,0.428571428571429,0.522988505747126,0.523809523809524,0.379310344827586,0.666666666666667,0.457142857142857,0.446428571428571,0.577777777777778,0.464285714285714,0.428571428571429,FALSE
0,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.45,0.657142857142857,0.528735632183908,0.777777777777778,0.724137931034483,0.333333333333333,0.628571428571429,0.5,0.754716981132076,0.714285714285714,0.285714285714286,FALSE
0,27,0.5,0.428571428571429,0.522988505747126,0.523809523809524,0.379310344827586,0.666666666666667,0.457142857142857,0.446428571428571,0.577777777777778,0.464285714285714,0.428571428571429,FALSE
0,27,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.5,0.457142857142857,0.540229885057471,0.558139534883721,0.413793103448276,0.666666666666667,0.542857142857143,0.607142857142857,0.636363636363636,0.5,0.714285714285714,FALSE
0,98,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.5,0.571428571428571,0.675287356321839,0.666666666666667,0.517241379310345,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0,41,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.45,0.8,0.614942528735632,0.88135593220339,0.896551724137931,0.333333333333333,0.742857142857143,0.571428571428571,0.842105263157895,0.857142857142857,0.285714285714286,FALSE
0,64,0.5,0.542857142857143,0.658045977011494,0.636363636363636,0.482758620689655,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0,64,0.55,0.257142857142857,0.485632183908046,0.235294117647059,0.137931034482759,0.833333333333333,0.228571428571429,0.410714285714286,0.181818181818182,0.107142857142857,0.714285714285714,FALSE
0,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.5,0.428571428571429,0.522988505747126,0.523809523809524,0.379310344827586,0.666666666666667,0.457142857142857,0.446428571428571,0.577777777777778,0.464285714285714,0.428571428571429,FALSE
0.05,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.45,0.857142857142857,0.583333333333333,0.920634920634921,1,0.166666666666667,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.5,0.457142857142857,0.540229885057471,0.558139534883721,0.413793103448276,0.666666666666667,0.485714285714286,0.571428571428571,0.571428571428571,0.428571428571429,0.714285714285714,FALSE
0.05,27,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.5,0.457142857142857,0.540229885057471,0.558139534883721,0.413793103448276,0.666666666666667,0.542857142857143,0.607142857142857,0.636363636363636,0.5,0.714285714285714,FALSE
0.05,98,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.5,0.571428571428571,0.675287356321839,0.666666666666667,0.517241379310345,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0.05,41,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.45,0.771428571428571,0.531609195402299,0.866666666666667,0.896551724137931,0.166666666666667,0.8,0.553571428571429,0.885245901639344,0.964285714285714,0.142857142857143,FALSE
0.05,64,0.5,0.542857142857143,0.658045977011494,0.636363636363636,0.482758620689655,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0.05,64,0.55,0.257142857142857,0.485632183908046,0.235294117647059,0.137931034482759,0.833333333333333,0.228571428571429,0.410714285714286,0.181818181818182,0.107142857142857,0.714285714285714,FALSE
0.05,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.5,0.428571428571429,0.522988505747126,0.523809523809524,0.379310344827586,0.666666666666667,0.457142857142857,0.446428571428571,0.577777777777778,0.464285714285714,0.428571428571429,FALSE
0.1,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.45,0.8,0.614942528735632,0.88135593220339,0.896551724137931,0.333333333333333,0.742857142857143,0.571428571428571,0.842105263157895,0.857142857142857,0.285714285714286,FALSE
0.1,27,0.5,0.6,0.626436781609195,0.708333333333333,0.586206896551724,0.666666666666667,0.571428571428571,0.517857142857143,0.693877551020408,0.607142857142857,0.428571428571429,FALSE
0.1,27,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.5,0.457142857142857,0.540229885057471,0.558139534883721,0.413793103448276,0.666666666666667,0.542857142857143,0.607142857142857,0.636363636363636,0.5,0.714285714285714,FALSE
0.1,98,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.5,0.571428571428571,0.675287356321839,0.666666666666667,0.517241379310345,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0.1,41,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.45,0.771428571428571,0.531609195402299,0.866666666666667,0.896551724137931,0.166666666666667,0.771428571428571,0.482142857142857,0.870967741935484,0.964285714285714,0,TRUE
0.1,64,0.5,0.542857142857143,0.658045977011494,0.636363636363636,0.482758620689655,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0.1,64,0.55,0.257142857142857,0.485632183908046,0.235294117647059,0.137931034482759,0.833333333333333,0.2,0.5,NA,0,1,TRUE
0.1,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
