"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,27,0.55,0.428571428571429,0.522988505747126,0.523809523809524,0.379310344827586,0.666666666666667,0.514285714285714,0.589285714285714,0.604651162790698,0.464285714285714,0.714285714285714,FALSE
0,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,98,0.55,0.228571428571429,0.468390804597701,0.181818181818182,0.103448275862069,0.833333333333333,0.371428571428571,0.607142857142857,0.352941176470588,0.214285714285714,1,FALSE
0,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,41,0.55,0.571428571428571,0.675287356321839,0.666666666666667,0.517241379310345,0.833333333333333,0.4,0.410714285714286,0.511627906976744,0.392857142857143,0.428571428571429,FALSE
0,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0,64,0.55,0.542857142857143,0.658045977011494,0.636363636363636,0.482758620689655,0.833333333333333,0.342857142857143,0.375,0.439024390243902,0.321428571428571,0.428571428571429,FALSE
0,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.5,0.857142857142857,0.583333333333333,0.920634920634921,1,0.166666666666667,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,27,0.55,0.457142857142857,0.60632183908046,0.536585365853659,0.379310344827586,0.833333333333333,0.342857142857143,0.482142857142857,0.378378378378378,0.25,0.714285714285714,FALSE
0.05,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,98,0.55,0.228571428571429,0.468390804597701,0.181818181818182,0.103448275862069,0.833333333333333,0.371428571428571,0.607142857142857,0.352941176470588,0.214285714285714,1,FALSE
0.05,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,41,0.55,0.542857142857143,0.658045977011494,0.636363636363636,0.482758620689655,0.833333333333333,0.371428571428571,0.392857142857143,0.476190476190476,0.357142857142857,0.428571428571429,FALSE
0.05,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.05,64,0.55,0.371428571428571,0.554597701149425,0.421052631578947,0.275862068965517,0.833333333333333,0.285714285714286,0.339285714285714,0.358974358974359,0.25,0.428571428571429,FALSE
0.05,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.05,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,23,0.55,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,23,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,27,0.5,0.8,0.614942528735632,0.88135593220339,0.896551724137931,0.333333333333333,0.742857142857143,0.571428571428571,0.842105263157895,0.857142857142857,0.285714285714286,FALSE
0.1,27,0.55,0.6,0.626436781609195,0.708333333333333,0.586206896551724,0.666666666666667,0.571428571428571,0.517857142857143,0.693877551020408,0.607142857142857,0.428571428571429,FALSE
0.1,27,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,27,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,98,0.55,0.171428571428571,0.433908045977011,0.0645161290322581,0.0344827586206897,0.833333333333333,0.371428571428571,0.607142857142857,0.352941176470588,0.214285714285714,1,FALSE
0.1,98,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,98,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.5,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,41,0.55,0.371428571428571,0.554597701149425,0.421052631578947,0.275862068965517,0.833333333333333,0.285714285714286,0.339285714285714,0.358974358974359,0.25,0.428571428571429,FALSE
0.1,41,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,41,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.3,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.35,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.4,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.45,0.828571428571429,0.5,0.90625,1,0,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.5,0.857142857142857,0.583333333333333,0.920634920634921,1,0.166666666666667,0.8,0.5,0.888888888888889,1,0,TRUE
0.1,64,0.55,0.371428571428571,0.554597701149425,0.421052631578947,0.275862068965517,0.833333333333333,0.285714285714286,0.339285714285714,0.358974358974359,0.25,0.428571428571429,FALSE
0.1,64,0.6,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.65,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
0.1,64,0.7,0.171428571428571,0.5,NA,0,1,0.2,0.5,NA,0,1,TRUE
