"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0,23,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,23,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,23,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.511475409836066,0.493670886075949,0.676789587852495,0.987341772151899,0,TRUE
0,23,0.45,0.529605263157895,0.521433210651656,0.669745958429561,0.935483870967742,0.10738255033557,0.472131147540984,0.456880220442607,0.633257403189066,0.879746835443038,0.0340136054421769,FALSE
0,23,0.5,0.532894736842105,0.531673522407447,0.56441717791411,0.593548387096774,0.469798657718121,0.40327868852459,0.401317489020925,0.441717791411043,0.455696202531646,0.346938775510204,FALSE
0,23,0.55,0.5,0.508638233383849,0.126436781609195,0.0709677419354839,0.946308724832215,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,FALSE
0,23,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.5,NA,0,1,TRUE
0,23,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,27,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,27,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,27,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,27,0.45,0.519736842105263,0.511106300064949,0.668181818181818,0.948387096774194,0.0738255033557047,0.485245901639344,0.470012055455093,0.642369020501139,0.892405063291139,0.0476190476190476,FALSE
0,27,0.5,0.559210526315789,0.558778956484087,0.573248407643312,0.580645161290323,0.536912751677852,0.429508196721311,0.430659605614398,0.42,0.39873417721519,0.462585034013605,FALSE
0,27,0.55,0.503289473684211,0.511734141589089,0.146892655367232,0.0838709677419355,0.939597315436242,0.462295081967213,0.477934211659347,0.0786516853932584,0.0443037974683544,0.91156462585034,FALSE
0,27,0.6,0.490131578947368,0.499870101753626,0.0127388535031847,0.00645161290322581,0.993288590604027,0.481967213114754,0.5,NA,0,1,TRUE
0,27,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,27,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,98,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,98,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,98,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,98,0.45,0.506578947368421,0.497553583026629,0.663677130044843,0.954838709677419,0.0402684563758389,0.485245901639344,0.469775251872901,0.643990929705215,0.89873417721519,0.0408163265306122,FALSE
0,98,0.5,0.539473684210526,0.538514830049794,0.565217391304348,0.587096774193548,0.48993288590604,0.436065573770492,0.434620683716525,0.46583850931677,0.474683544303797,0.394557823129252,FALSE
0,98,0.55,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.475409836065574,0.492960475329372,0.0123456790123457,0.00632911392405063,0.979591836734694,FALSE
0,98,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,98,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,98,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,41,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,41,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,41,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.511475409836066,0.494618100404719,0.671081677704194,0.962025316455696,0.0272108843537415,FALSE
0,41,0.45,0.536184210526316,0.528014721801256,0.674364896073903,0.941935483870968,0.114093959731544,0.478688524590164,0.464630155859812,0.629370629370629,0.854430379746835,0.0748299319727891,FALSE
0,41,0.5,0.555921052631579,0.556072743017969,0.557377049180328,0.548387096774194,0.563758389261745,0.39672131147541,0.396882803754413,0.402597402597403,0.392405063291139,0.401360544217687,FALSE
0,41,0.55,0.5,0.508508335137476,0.136363636363636,0.0774193548387097,0.939597315436242,0.459016393442623,0.475716869026091,0.0236686390532544,0.0126582278481013,0.938775510204082,FALSE
0,41,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.5,NA,0,1,TRUE
0,41,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,41,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0,64,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,64,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0,64,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.504918032786885,0.487815379316283,0.668131868131868,0.962025316455696,0.0136054421768707,FALSE
0,64,0.45,0.529605263157895,0.521433210651656,0.669745958429561,0.935483870967742,0.10738255033557,0.462295081967213,0.448096960303109,0.618604651162791,0.841772151898734,0.054421768707483,FALSE
0,64,0.5,0.542763157894737,0.542000432994155,0.564263322884013,0.580645161290323,0.503355704697987,0.422950819672131,0.422199259450616,0.443037974683544,0.443037974683544,0.401360544217687,FALSE
0,64,0.55,0.483552631578947,0.491340116908422,0.160427807486631,0.0967741935483871,0.885906040268456,0.491803278688525,0.507836045810729,0.114285714285714,0.0632911392405063,0.952380952380952,FALSE
