"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"Conv1D",0,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,23,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,23,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,23,0.45,0.472131147540984,0.0612244897959184,0.854430379746835,0.457827434771377,0.527868852459016,FALSE
"Conv1D",0,23,0.5,0.40327868852459,0.428571428571429,0.379746835443038,0.404159132007233,0.59672131147541,FALSE
"Conv1D",0,23,0.55,0.475409836065574,0.891156462585034,0.0886075949367089,0.489882028760871,0.524590163934426,FALSE
"Conv1D",0,23,0.6,0.495081967213115,0.979591836734694,0.0443037974683544,0.511947817101524,0.504918032786885,FALSE
"Conv1D",0,23,0.65,0.481967213114754,0.986394557823129,0.0126582278481013,0.499526392835615,0.518032786885246,FALSE
"Conv1D",0,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,27,0.35,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"Conv1D",0,27,0.4,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"Conv1D",0,27,0.45,0.462295081967213,0.0884353741496599,0.810126582278481,0.44928097821407,0.537704918032787,FALSE
"Conv1D",0,27,0.5,0.386885245901639,0.503401360544218,0.278481012658228,0.390941186601223,0.613114754098361,FALSE
"Conv1D",0,27,0.55,0.429508196721311,0.850340136054422,0.0379746835443038,0.444157409799363,0.570491803278689,FALSE
"Conv1D",0,27,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,98,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,98,0.45,0.472131147540984,0.0340136054421769,0.879746835443038,0.456880220442607,0.527868852459016,FALSE
"Conv1D",0,98,0.5,0.377049180327869,0.210884353741497,0.531645569620253,0.371264961680875,0.622950819672131,FALSE
"Conv1D",0,98,0.55,0.445901639344262,0.891156462585034,0.0316455696202532,0.461401016102644,0.554098360655738,FALSE
"Conv1D",0,98,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0,98,0.65,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,41,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,41,0.4,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"Conv1D",0,41,0.45,0.452459016393443,0.054421768707483,0.822784810126582,0.438603289417033,0.547540983606557,FALSE
"Conv1D",0,41,0.5,0.373770491803279,0.380952380952381,0.367088607594937,0.374020494273659,0.626229508196721,FALSE
"Conv1D",0,41,0.55,0.465573770491803,0.91156462585034,0.0506329113924051,0.481098768621373,0.534426229508197,FALSE
"Conv1D",0,41,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,64,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0,64,0.45,0.511475409836066,0.0136054421768707,0.974683544303797,0.494144493240334,0.488524590163934,FALSE
"Conv1D",0,64,0.5,0.409836065573771,0.401360544217687,0.417721518987342,0.409541031602514,0.590163934426229,FALSE
"Conv1D",0,64,0.55,0.478688524590164,0.884353741496599,0.10126582278481,0.492809782140704,0.521311475409836,FALSE
"Conv1D",0,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,23,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,23,0.4,0.521311475409836,0.0136054421768707,0.993670886075949,0.50363816412641,0.478688524590164,FALSE
"Conv1D",0.05,23,0.45,0.472131147540984,0.0816326530612245,0.835443037974684,0.458537845517954,0.527868852459016,FALSE
"Conv1D",0.05,23,0.5,0.386885245901639,0.45578231292517,0.322784810126582,0.389283561525876,0.613114754098361,FALSE
"Conv1D",0.05,23,0.55,0.495081967213115,0.931972789115646,0.0886075949367089,0.510290192026178,0.504918032786885,FALSE
"Conv1D",0.05,23,0.6,0.481967213114754,0.979591836734694,0.0189873417721519,0.499289589253423,0.518032786885246,FALSE
"Conv1D",0.05,23,0.65,0.481967213114754,0.986394557823129,0.0126582278481013,0.499526392835615,0.518032786885246,FALSE
"Conv1D",0.05,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,27,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,27,0.4,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"Conv1D",0.05,27,0.45,0.511475409836066,0.0680272108843537,0.924050632911392,0.496038921897873,0.488524590163934,FALSE
"Conv1D",0.05,27,0.5,0.422950819672131,0.510204081632653,0.341772151898734,0.425988116765694,0.577049180327869,FALSE
"Conv1D",0.05,27,0.55,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0.05,27,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
