"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"GRU",0,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,23,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,23,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,23,0.45,0.459016393442623,0.054421768707483,0.835443037974684,0.444932403341083,0.540983606557377,FALSE
"GRU",0,23,0.5,0.370491803278689,0.387755102040816,0.354430379746835,0.371092740893826,0.629508196721311,FALSE
"GRU",0,23,0.55,0.442622950819672,0.891156462585034,0.0253164556962025,0.458236459140618,0.557377049180328,FALSE
"GRU",0,23,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"GRU",0,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,27,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,27,0.4,0.508196721311475,0.0340136054421769,0.949367088607595,0.491690347024886,0.491803278688525,FALSE
"GRU",0,27,0.45,0.462295081967213,0.0952380952380952,0.80379746835443,0.449517781796263,0.537704918032787,FALSE
"GRU",0,27,0.5,0.39672131147541,0.394557823129252,0.39873417721519,0.396646000172221,0.60327868852459,FALSE
"GRU",0,27,0.55,0.459016393442623,0.904761904761905,0.0443037974683544,0.47453285111513,0.540983606557377,FALSE
"GRU",0,27,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,98,0.4,0.514754098360656,0.0136054421768707,0.981012658227848,0.497309050202359,0.485245901639344,FALSE
"GRU",0,98,0.45,0.472131147540984,0.0816326530612245,0.835443037974684,0.458537845517954,0.527868852459016,FALSE
"GRU",0,98,0.5,0.39344262295082,0.333333333333333,0.449367088607595,0.391350210970464,0.60655737704918,FALSE
"GRU",0,98,0.55,0.426229508196721,0.850340136054422,0.0316455696202532,0.440992852837337,0.573770491803279,FALSE
"GRU",0,98,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"GRU",0,98,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,41,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,41,0.4,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"GRU",0,41,0.45,0.472131147540984,0.0408163265306122,0.873417721518987,0.4571170240248,0.527868852459016,FALSE
"GRU",0,41,0.5,0.386885245901639,0.36734693877551,0.40506329113924,0.386205114957375,0.613114754098361,FALSE
"GRU",0,41,0.55,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"GRU",0,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0,64,0.35,0.508196721311475,0.00680272108843537,0.974683544303797,0.490743132696116,0.491803278688525,FALSE
"GRU",0,64,0.4,0.472131147540984,0.054421768707483,0.860759493670886,0.457590631189185,0.527868852459016,FALSE
"GRU",0,64,0.45,0.465573770491803,0.0816326530612245,0.822784810126582,0.452208731593903,0.534426229508197,FALSE
"GRU",0,64,0.5,0.383606557377049,0.448979591836735,0.322784810126582,0.385882200981658,0.616393442622951,FALSE
