"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"TCN",0,23,0.3,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"TCN",0,23,0.35,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"TCN",0,23,0.4,0.514754098360656,0.0476190476190476,0.949367088607595,0.498493068113321,0.485245901639344,FALSE
"TCN",0,23,0.45,0.462295081967213,0.115646258503401,0.784810126582278,0.45022819254284,0.537704918032787,FALSE
"TCN",0,23,0.5,0.373770491803279,0.36734693877551,0.379746835443038,0.373546887109274,0.626229508196721,FALSE
"TCN",0,23,0.55,0.462295081967213,0.938775510204082,0.0189873417721519,0.478881425988117,0.537704918032787,FALSE
"TCN",0,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0,27,0.3,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"TCN",0,27,0.35,0.508196721311475,0.0340136054421769,0.949367088607595,0.491690347024886,0.491803278688525,FALSE
"TCN",0,27,0.4,0.508196721311475,0.0680272108843537,0.917721518987342,0.492874364935848,0.491803278688525,FALSE
"TCN",0,27,0.45,0.475409836065574,0.136054421768707,0.791139240506329,0.463596831137518,0.524590163934426,FALSE
"TCN",0,27,0.5,0.416393442622951,0.374149659863946,0.455696202531646,0.414922931197796,0.583606557377049,FALSE
"TCN",0,27,0.55,0.468852459016393,0.938775510204082,0.0316455696202532,0.485210539912167,0.531147540983607,FALSE
"TCN",0,27,0.6,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"TCN",0,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
