"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"Transformer",0,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,23,0.35,0.495081967213115,0.0136054421768707,0.943037974683544,0.478321708430208,0.504918032786885,FALSE
"Transformer",0,23,0.4,0.472131147540984,0.108843537414966,0.810126582278481,0.459485059846723,0.527868852459016,FALSE
"Transformer",0,23,0.45,0.445901639344262,0.346938775510204,0.537974683544304,0.442456729527254,0.554098360655738,FALSE
"Transformer",0,23,0.5,0.478688524590164,0.836734693877551,0.145569620253165,0.491152157065358,0.521311475409836,FALSE
"Transformer",0,23,0.55,0.475409836065574,0.972789115646258,0.0126582278481013,0.49272367174718,0.524590163934426,FALSE
"Transformer",0,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,27,0.35,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"Transformer",0,27,0.4,0.514754098360656,0.0680272108843537,0.930379746835443,0.499203478859898,0.485245901639344,FALSE
"Transformer",0,27,0.45,0.472131147540984,0.231292517006803,0.69620253164557,0.463747524326186,0.527868852459016,FALSE
"Transformer",0,27,0.5,0.39672131147541,0.394557823129252,0.39873417721519,0.396646000172221,0.60327868852459,FALSE
"Transformer",0,27,0.55,0.383606557377049,0.612244897959184,0.170886075949367,0.391565486954275,0.616393442622951,FALSE
"Transformer",0,27,0.6,0.436065573770492,0.850340136054422,0.0506329113924051,0.450486523723413,0.563934426229508,FALSE
"Transformer",0,27,0.65,0.459016393442623,0.945578231292517,0.00632911392405063,0.475953672608284,0.540983606557377,FALSE
"Transformer",0,27,0.7,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"Transformer",0,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
